,Impact,poorPerfection,poornessPercent,goodDesignsElim,totalPerfection,numCorrect,goodPerfection,goodnessPercent,numIncorrect,poorEliminationPercent,poorDesignsElim
rule_S1andY_PB2andPH1_Rule_O,-26,False,53,1455,False,1464,False,27,2532,38,921
rule_P1_Y_Rule_F,28,False,48,474,False,2562,False,76,1434,68,1038
rule_PA2_H1_Rule_I,-1,True,100,30,False,1968,False,98,2028,0,0
rule_PIn1_H1_Rule_I,-11,False,96,299,False,1778,False,85,2218,20,79
rule_H2andY_PS1andPIn1_Rule_O,0,False,0,1998,False,1998,False,0,1998,50,1998
rule_PIn2_B1_Rule_I,0,False,84,298,False,2014,False,85,1982,51,314
rule_PB1_Rule_M,8,False,25,1316,False,2174,False,34,1822,53,1492
rule_B2andY_PIn1andPIn2_Rule_O,0,False,0,1998,False,1998,False,0,1998,50,1998
rule_P1_B1_Rule_T,-1,False,46,1092,False,1974,False,45,2022,49,1068
rule_Verification,0,False,0,1998,False,1998,False,0,1998,50,1998
rule_S1_Rule_R,8,False,90,19,False,2176,False,99,1820,91,197
rule_P1_Y_Rule_T,-28,False,51,1524,False,1434,False,23,2562,38,960
rule_PB1_Rule_R,0,False,100,0,True,1998,False,100,1998,,0
rule_PA2_P1_Rule_I,1,False,97,18,False,2022,False,99,1974,70,42
rule_S1_Rule_M,-15,False,23,1848,False,1686,False,7,2310,45,1536
rule_Y_Rule_R,0,False,100,0,True,1998,False,100,1998,,0
rule_PIn1_P1_Rule_I,17,False,75,132,False,2346,False,93,1650,78,480
rule_Y_Rule_M,0,False,100,0,True,1998,False,100,1998,,0
rule_PA2_S1_Rule_I,0,False,99,1,False,2014,False,99,1982,94,17
rule_PIn1_S1_Rule_I,13,False,86,2,False,2270,False,99,1726,99,274
rule_H1_Rule_R,-4,False,97,145,False,1906,False,92,2090,26,53
rule_1_Rule_misc,0,False,0,1998,False,1998,False,0,1998,50,1998
rule_P1_Y_Rule_A,28,False,48,474,False,2562,False,76,1434,68,1038
rule_B1_P1_Rule_B,3,False,92,83,False,2072,False,95,1924,65,157
rule_H2_P1_Rule_T,5,False,46,955,False,2104,False,52,1892,52,1061
rule_A1_B1_Rule_B,-8,True,100,168,False,1830,False,91,2166,0,0
rule_A1_B1_Rule_A,-18,False,80,758,False,1634,False,62,2362,34,394
rule_B1_P1_Rule_F,-13,False,68,888,False,1734,False,55,2262,41,624
rule_PA1_B2_Rule_I,-3,True,100,60,False,1938,False,96,2058,0,0
rule_A1_B1_Rule_F,-18,False,80,758,False,1634,False,62,2362,34,394
rule_H1_Y_Rule_T,19,False,13,1337,False,2384,False,33,1612,56,1723
rule_H2_P1_Rule_F,-23,False,88,705,False,1524,False,64,2472,24,231
rule_H2_Rule_M,23,False,11,1293,False,2472,False,35,1524,57,1767
